hostname,st_spectype,st_mass,st_teff,st_rad,st_lum,st_logg,st_met,sy_dist
"Qatar-9","K5 V",0.719000,4309.00,0.696000,-0.82102,4.610000,0.2520,213.77100000
"Kepler-408",,1.140000,6078.00,1.249170,0.28298,4.301730,-0.1200,88.78320000
"Kepler-62",,0.637000,4797.00,0.653000,,4.612000,-0.4600,300.87400000
"KELT-1",,1.376000,6596.04,1.462160,0.56182,4.246700,0.1310,268.43000000
"WASP-173 A",,1.050000,5700.00,1.110000,,4.500000,0.1600,232.98000000
"HD 189733",,0.812000,5050.00,0.765000,-0.46547,4.580000,-0.0300,19.76380000
"Kepler-314",,0.990000,5440.00,0.876000,,,0.3800,268.88100000
"Kepler-506",,1.180000,6184.00,1.188000,,4.360000,0.1200,228.43900000
"K2-376",,0.908000,5937.00,1.149000,,4.275000,-0.1760,161.61000000
"K2-167",,1.160000,6129.00,1.471310,0.43966,4.167120,,80.89940000
"WASP-67",,0.943000,5417.00,0.831063,-0.27100,4.573310,0.1800,189.46900000
"WASP-97",,1.120000,5670.00,1.060000,,,0.2300,151.06800000
"Kepler-12",,1.166000,5950.00,1.483000,,,0.0700,881.38600000
"Kepler-363",,1.284000,5759.00,2.127000,,3.891000,0.3000,762.59600000
"Kepler-784",,1.016000,5676.00,1.487000,,4.100000,0.1000,1303.72000000
"mu2 Sco","B2 IV",9.100000,21700.00,5.600000,,3.800000,,
"K2-222",,1.000000,6058.00,1.090000,,4.370000,-0.2100,101.32100000
"Kepler-1637",,0.756000,6024.00,1.009000,,4.309000,-0.8800,567.18700000
"TOI-431",,0.800000,4891.00,0.726632,-0.56509,4.618530,0.0200,32.56860000
"HD 128717",,1.212000,6210.00,1.248000,0.32200,4.329000,0.1600,73.63600000
"TOI-5734","K3-K4 V",0.724000,4750.00,0.639000,-0.74232,4.660000,-0.1300,32.51020000
"HD 210702",,1.710000,5000.00,,,3.360000,0.0400,54.19630000
"HD 219666","G5 V",0.920000,5527.00,1.030000,,4.400000,0.0400,94.17190000
"Kepler-59",,1.066000,6305.00,1.011000,,4.458000,-0.2600,1163.22000000
"TOI-2876",,0.939000,5271.00,0.873000,-0.27654,4.529000,0.3530,225.74400000
"TOI-2545",,1.055000,5846.29,1.253240,0.21828,4.265250,-0.2729,107.11800000
"DS Tuc A",,0.940000,5414.00,0.951985,-0.15397,4.453930,,44.06220000
"Kepler-1514",,1.093000,6382.00,2.274000,,3.764000,-0.8400,397.29200000
"TOI-1117","G5 V",0.970000,5635.00,1.050000,-0.44370,4.410000,0.1360,167.59800000
"TOI-942","K2.5 V",0.880000,4969.00,0.893000,-0.35853,,0.0000,152.60100000
"HAT-P-19",,0.807000,4962.00,0.773000,-0.48545,4.568700,0.1660,202.07800000
"TOI-1268",,0.870000,5150.00,0.901802,-0.28785,4.467360,,109.55700000
"Kepler-10",,0.895000,5627.00,1.056000,0.00173,4.341000,-0.1500,185.50600000
"Kepler-204",,0.976000,5815.00,1.198000,,4.270000,-0.0200,686.72300000
"Kepler-148",,0.893000,5271.00,0.838000,,4.543000,0.1400,791.16300000
"Kepler-579",,0.779000,5214.00,0.800000,,4.530000,,530.76500000
"TOI-1238","K7/M0",0.590000,4089.00,0.580000,-1.08249,4.630000,0.3100,70.71450000
"Kepler-528",,1.039000,6014.00,0.940000,,4.510000,,784.23000000
"Kepler-1381",,1.067000,6137.00,0.994000,,4.471000,-0.1200,1197.04000000
"Wolf 327","M2.5 V",0.405000,3542.00,0.406000,-1.62986,4.870000,-0.1700,28.53210000
"K2-167",,1.337000,6141.00,1.460000,0.43616,4.236000,0.4250,80.89940000
"TOI-260",,0.548500,4050.00,0.546800,-1.13668,4.700000,-0.2110,20.18520000
"LP 890-9","M6 V",0.118000,2850.00,0.155600,-2.84134,5.126000,-0.0280,32.42980000
"Kepler-1464",,1.000000,5654.00,1.709360,0.42978,3.972400,,1151.73000000
"Kepler-675",,0.778000,4989.00,0.727000,,4.605000,-0.1000,665.68000000
"psi1 Dra B",,1.200000,6223.00,1.240810,0.31811,4.329840,0.0500,22.71880000
"Kepler-209",,0.876000,5514.00,1.043000,,4.344000,0.0200,576.94600000
"Kepler-1661",,0.850000,5070.90,0.730679,-0.49751,4.640030,-0.3190,410.60700000
"TOI-1437",,1.144000,6093.00,1.222400,0.26845,4.322070,,103.29700000
"Kepler-472",,0.836000,4911.00,0.786000,,4.570000,0.2600,306.60200000
"HD 134606",,1.046000,5576.00,1.158000,0.06483,4.330000,0.3430,26.79090000
"Kepler-1845",,0.686000,4703.00,0.701000,,4.582000,-0.1400,710.72400000
"Kepler-190",,0.868000,5239.00,0.785000,,4.585000,0.0000,433.38700000
"HIP 41378",,1.168000,6226.00,1.343000,,,,106.28900000
"Barnard's star","M3.5-4 V",0.162000,3195.00,0.185000,-2.44977,4.900000,-0.5600,1.82655000
"HD 86226",,1.000000,5947.00,,,4.540000,0.0200,45.68300000
"Kepler-1958",,0.947000,5733.00,0.855000,,4.551000,-0.1200,1320.38000000
"K2-99",,1.630000,6217.00,2.630000,,3.810000,0.2100,519.22900000
"HAT-P-41",,1.418000,6390.00,1.683000,0.62800,,,348.18500000
"HAT-P-9",,1.190000,6193.00,1.299900,0.35012,4.285800,0.0800,455.20300000
"Kepler-357",,0.779000,5033.00,0.821000,,4.501000,0.0600,688.57300000
"Kepler-293",,0.953000,5714.00,0.850000,,4.560000,,974.63300000
"Gl 378",,0.554359,3745.00,0.560225,-1.25477,4.685130,,14.95450000
"TIC 356227008",,1.020000,5700.00,0.959792,-0.05745,4.482310,,387.60900000
"K2-393",,1.020000,5729.00,1.066530,0.04296,4.390720,,265.91400000
"TOI-1789","F",1.507000,5991.00,2.168000,0.73640,3.943000,0.3730,229.06700000
"Kepler-1981",,1.519000,5874.00,3.006000,,3.664000,0.1200,659.39500000
"TOI-125","K0 V",0.859000,5320.00,0.848000,-0.28483,4.516000,-0.0200,111.05900000
"Kepler-997",,1.120000,6295.00,1.190000,,4.340000,,467.56800000
"Kepler-1499",,0.723000,5002.00,0.753000,,4.543000,-0.1800,309.86900000
"Kepler-225",,0.460000,3682.00,0.440000,,4.814000,-0.1100,561.10100000
"Kepler-172",,0.850000,5540.00,0.970000,,4.390000,,828.59200000
"Kepler-1301",,0.884000,5354.00,0.788000,,4.587000,-0.0800,854.28000000
"Kepler-74",,1.268000,6056.00,1.498000,,4.191000,0.3600,1177.55000000
"HD 222076","K0 III",1.070000,4806.00,4.100000,0.92942,3.310000,0.0500,91.15380000
