b_over_M,r1_over_M,r2_over_M,r3_over_M,dr1_db,dr2_db,dr3_db
4.277796610169492,3.3838646072467875,,,0.9774876630853697,,
4.317457627118644,3.4226402810635324,,,0.9778621158804768,,
4.357118644067797,3.4614306191505264,,,0.9782272983832669,,
4.396779661016949,3.500235259986138,,,0.9785835142569965,,
4.436440677966102,3.539053853840742,,,0.9789310548320245,,
4.476101694915254,3.5778860623016278,,,0.9792701996992577,,
4.515762711864407,3.616731557816886,,,0.9796012172579225,,
4.55542372881356,3.655590023263782,,,0.9799243652694827,,
4.595084745762712,3.6944611515365673,,,0.9802398913493207,,
4.634745762711865,3.7333446451538634,,,0.9805480334446628,,
4.674406779661018,3.772240215884382,,,0.9808490202843032,,
4.71406779661017,3.8111475843899747,,,0.9811430718040839,,
4.753728813559322,3.8500664798851116,,,0.9814303995496587,,
4.793389830508475,3.8889966398118787,,,0.9817112070578276,,
4.833050847457628,3.9279378095296993,,,0.9819856902179538,,
4.87271186440678,3.9668897420189984,,,0.982254037614311,,
4.912372881355933,4.005852197598088,,,0.9825164308506373,,
4.952033898305086,4.044824943652575,,,0.9827730448582273,,
4.991694915254238,4.083807754376673,,,0.9830240481880921,,
5.03135593220339,4.122800410525799,2.077124388351213,,0.9832696032881856,,
5.071016949152543,4.161802699179873,2.2777570970394927,,0.9835098667669655,5.293811070033861,
5.1106779661016954,4.200814413516806,2.4970402494996646,,0.9837449896435047,5.791455720405914,
5.1503389830508475,4.239835352595661,2.7371471440140573,,0.9839751175853095,6.348344331068759,
5.19,4.278865321148996,3.000603833726813,2.216504689624431,0.9842011754371924,6.960925737665093,
5.1901,4.278963741294835,3.001300006534105,2.227047918871944,0.9842017393530114,6.962562980334042,105.74057661735424
5.190128356884212,4.278991650191858,3.001497449839951,2.230048871112032,0.9842018987037591,6.963036527486111,105.91580010117468
5.1901647548972445,4.2790274731891165,3.0017509015970636,2.2339080979170842,0.9842021032090997,6.963644443494559,106.14153961905686
5.190211474252688,4.279073454483137,3.0020762568056476,2.2388737408061545,0.9842023657147365,6.964424846937618,106.43227717224909
5.19027144176166,4.279132474657437,3.0024939260521033,2.24526743008745,0.9842027026497817,6.9654267149890075,106.80709081078567
5.1903484141877145,4.279208231143833,3.0030301213414625,2.253507192100951,0.9842031351072364,6.966712958335847,107.2908969747914
5.1904472135955,4.279305469858144,3.0037185100239143,2.264138243124359,0.9842036901864049,6.968364394082528,107.9163945579503
5.190574029436953,4.279430282522451,3.00460234344643,2.2778748664653463,0.9842044026136136,6.970484870232212,108.72675991646247
5.190736806299729,4.279590488301862,3.0057371986707135,2.295658166883646,0.984205316994121,6.973207882349016,109.77944988900981
5.190945741609004,4.279796123666762,3.007194513242084,2.3187370779397964,0.9842064905387815,6.976705089046845,111.1516829166153
5.191213924462006,4.280060071173312,3.0090661480374727,2.3487842892756183,0.9842079966674646,6.981197343383428,112.94853651350786
5.191558155616109,4.280398866560596,3.011470286511082,2.3880661187199705,0.9842099295683511,6.98696898960543,115.31525874831641
5.192,4.280833734738605,3.0145590770602753,2.4396984092405214,0.9842124100496221,6.994386415336521,118.45661990087046
5.192567137684225,4.281391919588363,3.0185285588370934,2.508044607040117,0.9842155930418812,7.0039222475045335,122.66852370140214
5.193295097944884,4.282108390914861,3.023631594939151,2.5993585967851036,0.9842196771892304,7.016187012069395,128.39201166586963
5.1942294850537625,4.283028035542209,3.0301947929022486,2.7228691496231927,0.9842249171051662,7.031970781032669,136.3105320653175
5.19542883523319,4.2842084699053995,3.0386407552794203,2.892706573297123,0.9842316389854204,7.052298326039704,147.53702859569876
5.196968283754286,4.2857236504854574,3.0495175268347925,3.131548181953806,0.984240260563638,7.078502737849249,164.00108248375045
5.198944271909999,4.2876685085116755,3.063537876223977,3.4780678370345917,0.9842513162990372,7.11232468914443,189.33853270720732
5.201480588739058,4.290164899675577,3.081632210796098,4.00378088940046,0.9842654898411638,7.156067859287816,231.23416806279602
5.204736125994562,4.293369242240738,3.1050208590110864,4.85669398743314,0.9842836539883137,7.2127446061400065,308.9019053679173
5.208914832180064,4.297482323103173,3.135313544706876,6.39913207745161,0.984306921632367,7.286325618686817,485.84768529659516
